attacker_request_id,rate_name,rate_multiplier,probe_round_period_ns,probe_round_id,round_start_time_ns,request_release_time_ns,actual_arrival_time_ns,service_start_time_ns,victim_on_completion_time_ns,service_time_ns,victim_on_waiting_time_ns,victim_on_turnaround_time_ns,source_module,target_modules,architecture_request_id,baseline_waiting_time_ns,baseline_turnaround_time_ns,baseline_completion_time_ns,excess_waiting_time_ns,excess_turnaround_time_ns,victim_contention_observed
0,rate_1p00x_base,1.0,420,0,1000,1030,1030,1030,1140,110,0,110,module_3,module_4,0,0,110,1140,0,0,False
1,rate_1p00x_base,1.0,420,1,1420,1450,1450,2920,3030,110,1470,1580,module_3,module_4,17,0,110,1560,1470,1470,True
2,rate_1p00x_base,1.0,420,2,1840,1870,1870,3030,3140,110,1160,1270,module_3,module_4,18,0,110,1980,1160,1160,True
3,rate_1p00x_base,1.0,420,3,2260,2290,2290,3140,3250,110,850,960,module_3,module_4,19,0,110,2400,850,850,True
4,rate_1p00x_base,1.0,420,4,2680,2710,2710,3250,3360,110,540,650,module_3,module_4,20,0,110,2820,540,540,True
5,rate_1p00x_base,1.0,420,5,3100,3130,3130,3360,3470,110,230,340,module_3,module_4,21,0,110,3240,230,230,True
6,rate_1p00x_base,1.0,420,6,3520,3550,3550,3550,3660,110,0,110,module_3,module_4,22,0,110,3660,0,0,False
7,rate_1p00x_base,1.0,420,7,3940,3970,3970,3970,4080,110,0,110,module_3,module_4,23,0,110,4080,0,0,False
8,rate_1p00x_base,1.0,420,8,4360,4390,4390,4390,4500,110,0,110,module_3,module_4,24,0,110,4500,0,0,False
9,rate_1p00x_base,1.0,420,9,4780,4810,4810,4810,4920,110,0,110,module_3,module_4,25,0,110,4920,0,0,False
10,rate_1p00x_base,1.0,420,10,5200,5230,5230,5230,5340,110,0,110,module_3,module_4,26,0,110,5340,0,0,False
11,rate_1p00x_base,1.0,420,11,5620,5650,5650,5650,5760,110,0,110,module_3,module_4,27,0,110,5760,0,0,False
12,rate_1p00x_base,1.0,420,12,6040,6070,6070,6070,6180,110,0,110,module_3,module_4,28,0,110,6180,0,0,False
13,rate_1p00x_base,1.0,420,13,6460,6490,6490,6490,6600,110,0,110,module_3,module_4,29,0,110,6600,0,0,False
14,rate_1p00x_base,1.0,420,14,6880,6910,6910,6910,7020,110,0,110,module_3,module_4,30,0,110,7020,0,0,False
15,rate_1p00x_base,1.0,420,15,7300,7330,7330,7330,7440,110,0,110,module_3,module_4,31,0,110,7440,0,0,False
16,rate_1p00x_base,1.0,420,16,7720,7750,7750,7750,7860,110,0,110,module_3,module_4,32,0,110,7860,0,0,False
17,rate_1p00x_base,1.0,420,17,8140,8170,8170,8170,8280,110,0,110,module_3,module_4,33,0,110,8280,0,0,False
18,rate_1p00x_base,1.0,420,18,8560,8590,8590,8590,8700,110,0,110,module_3,module_4,34,0,110,8700,0,0,False
19,rate_1p00x_base,1.0,420,19,8980,9010,9010,9010,9120,110,0,110,module_3,module_4,35,0,110,9120,0,0,False
20,rate_1p00x_base,1.0,420,20,9400,9430,9430,9430,9540,110,0,110,module_3,module_4,36,0,110,9540,0,0,False
21,rate_1p00x_base,1.0,420,21,9820,9850,9850,9850,9960,110,0,110,module_3,module_4,37,0,110,9960,0,0,False
22,rate_1p00x_base,1.0,420,22,10240,10270,10270,10270,10380,110,0,110,module_3,module_4,38,0,110,10380,0,0,False
23,rate_1p00x_base,1.0,420,23,10660,10690,10690,10690,10800,110,0,110,module_3,module_4,39,0,110,10800,0,0,False
